"","Original","ES","TH","RRH","Prev","Outcome"
"72","Prev",0.251388932557399,0.305558763298271,0.220123544378838,0.150406130717573,0
"73","RRH",0.44995737223587,0.769077263226334,0.46587660952641,0.346149031370183,1
"74","ES",0.514508634018367,0.291016171309225,0.459949968167615,0.377188877627439,1
"75","TH",0.635416990936256,0.602974869847286,0.593729055044594,0.562298655561724,1
"76","Prev",0.107799189535875,0.287850084510228,0.0999846713219241,0.0643604527941714,0
"77","RRH",0.853671136339229,0.196895214260689,0.83879788521216,0.768207300017219,1
"78","ES",0.796843146662605,0.280558548352788,0.760015833007597,0.690895954926429,1
"79","Prev",0.200608013190497,0.133946424634862,0.209281661826463,0.151204326150098,0
"80","RRH",0.266310100907481,0.232195372163425,0.242649417030382,0.190013037003427,1
"81","RRH",0.603700279575818,0.161729120727513,0.599449063234902,0.537510792522729,0
"82","ES",0.724146389984936,0.510593685983756,0.605320165403229,0.57390380086683,1
"83","Prev",0.272229494985164,0.348746395374828,0.205926865551248,0.149769844593869,0
"84","Prev",0.261217022431824,0.276664177203464,0.244403010235324,0.145906648537968,0
"85","TH",0.3398512671755,0.44439217240063,0.346581932855567,0.228995436306304,1
"86","Prev",0.107602330496594,0.168928914444382,0.141566499950196,0.0644933102344943,0
"87","ES",0.609582377041386,0.20434678495173,0.631172458064869,0.525953776367415,1
"88","ES",0.434605853871027,0.304030360267399,0.324371727668057,0.285701662331304,0
"89","Prev",0.726908906143696,0.485785527119285,0.755032106111394,0.662361267590582,0
"90","RRH",0.543955570825635,0.457945225915381,0.550626210186752,0.398168716974866,0
"91","ES",0.631491720500128,0.189648256776414,0.633596597008817,0.503182128198021,1
"92","ES",0.447114226784707,0.211328939091518,0.429446279483808,0.345302147380059,1
"93","Prev",0.29324115228398,0.443425335946311,0.246241284019204,0.186389165240147,0
"94","ES",0.17854797292013,0.25163246166583,0.20690297339139,0.125311334520983,1
"95","Prev",0.203301477816868,0.73713480083537,0.19259361711814,0.117359881483711,0
"96","Prev",0.220911186505952,0.440374303095012,0.189383032562972,0.120293336171484,0
"97","ES",0.281526779613736,0.450898606333779,0.266343917291331,0.205009168736542,0
"98","Prev",0.220500156963994,0.425895177435665,0.181376825907206,0.17130643748812,0
