"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible"
"1681","RRH",1,0.326064532724487,0.237518189278668,0.286443712129159,0.20168700253765,1
"1682","Prev",0,0.246227464105329,0.258033779070328,0.249471142361272,0.163388015217521,1
"1683","Prev",0,0.190372337197016,0.176475435692564,0.206616895131843,0.120612534541654,1
"1684","TH",0,0.254244493757136,0.200744296415007,0.240537193903497,NA,0
"1685","Prev",0,0.242294975626587,0.199127943748817,0.273355061989928,0.165506646612764,1
"1686","Prev",0,0.347535053111887,0.37984094234426,0.317066366004594,0.271044262357057,1
"1687","Prev",0,0.257544029103816,0.200415535374489,0.247119720070724,0.153384235573188,1
"1688","ES",1,0.672975704250134,0.594519084916376,0.67374609399465,0.553787608402126,1
"1689","TH",1,0.480400770693453,0.382779911177686,0.456866583748021,0.377350806970921,1
"1690","ES",0,0.590320608263621,0.516451279337083,0.533622299564679,NA,0
"1691","ES",0,0.603430152289144,0.521346548597017,0.571566577026948,0.460550089050871,1
"1692","Prev",0,0.238680230803103,0.258242167716438,0.263003515126775,0.192138957504338,1
"1693","ES",1,0.547543211514118,0.554198419000639,0.499906387815575,0.492270926618438,1
"1694","RRH",0,0.473841208541297,0.386879993177692,0.528738256364798,0.336609025234487,1
"1695","Prev",1,0.206734916488015,0.164108450320204,0.206517413469244,0.124060399727644,1
"1696","Prev",0,0.194995539546108,0.203994351067824,0.179565800728207,0.117427328143376,1
"1697","ES",1,0.548483355853247,0.574706650578981,0.510013474272096,NA,0
"1698","ES",1,0.479708969856732,0.456351536702861,0.45686190421958,0.379857212924453,1
"1699","ES",1,0.680836441191345,0.621359950404618,0.666220444743126,0.549438155768578,1
"1700","Prev",1,0.400865320136696,0.321847830073042,0.350229883465742,0.275877727591534,1
"1701","TH",1,0.631934772196496,0.551431742342376,0.626170941919805,NA,0
"1702","Prev",0,0.205556570018759,0.199485735327338,0.223082183956918,0.128404785532795,1
"1703","Prev",0,0.149870676692016,0.122758413147597,0.171713604598742,0.0820715819231347,1
"1704","ES",0,0.605492047929072,0.519414702990897,0.602423476296447,0.477762694472713,1
"1705","ES",0,0.284005482296561,0.307671694160209,0.25534074314791,NA,0
"1706","TH",0,0.456230500096717,0.377022975078541,0.42479692282702,0.314870522300257,1
"1707","Prev",0,0.158434388277834,0.149401471049476,0.152318864791235,0.0984371461303793,1
"1708","ES",0,0.601789496346697,0.514917509648977,0.586034366108606,0.471417084664312,1
"1709","Prev",1,0.523609047153326,0.494668858984781,0.496983392731958,0.400101906852106,1
"1710","TH",0,0.518667988340056,0.431658493145201,0.496561820400835,0.363111986307117,1
"1711","ES",1,0.268392300191711,0.213620233718,0.229411129617258,0.170480250848605,1
"1712","Prev",0,0.102521984675422,0.09551859140715,0.0910593630058436,0.0575399695531796,1
"1713","ES",1,0.240924188778834,0.170606584760884,0.23638616180063,0.127992977391188,1
"1714","Prev",0,0.323536054838638,0.289141093200283,0.290007970238661,0.210549512258476,1
"1715","ES",0,0.438370184322965,0.346631646819004,0.425417030605167,0.279691772996865,1
"1716","TH",1,0.565013429986791,0.504793924576407,0.541602201177945,0.426882822326493,1
"1717","ES",0,0.612156224523923,0.66886359803917,0.628601896452381,NA,0
"1718","Prev",0,0.226798157530439,0.22044465319036,0.21128824388961,0.17210837116528,1
"1719","Prev",1,0.183081149179088,0.170354904696425,0.163293462149564,0.112110644618918,1
